protein,2DEVP_S1,2DEVP_S2,2DEVP_S3,2DExomere_S1,2DExomere_S2,2DExomere_S3,2DSuper_S1,2DSuper_S2,2DSuper_S3,3DEVP_S1,3DEVP_S2,3DEVP_S3,3DExomere_S1,3DExomere_S2,3DExomere_S3,3DSuper_S1,3DSuper_S2,3DSuper_S3,FPLCExomere_S1,FPLCExomere_S2,FPLCExomere_S3,FPLCExomere_S4,FPLCSuper_S1,FPLCSuper_S2,FPLCSuper_S3,FPLCSuper_S4,3DEV_S1,3DEV_S2,3DEV_S3,3DEV_S4,3DhEV_S1,3DhEV_S2,3DhEV_S3,3DhEV_S4,3DNV_S1,3DNV_S2,3DNV_S3,3DNV_S4
A2M,2.316116017,2.519953374,2.351701379,3.261216432,3.265441068,3.026589061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACS,1.58012073,0.961347078,2.098758683,0,0,0,0,0,0,2.529675346,2.9944429,1.526262086,1.546060213,0,1.003619168,0,0.963485218,1.03574445,0,0,0,0,0.90705003,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
AAMP,0,0,0.864613417,0.966587184,0.968891745,0.921132385,1.839113208,2.240990417,2.825330619,1.540903575,2.164986415,1.526262086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS1,4.452494049,4.317777446,5.044971775,4.888809872,4.846130027,5.234104327,3.499731284,3.491832663,4.663973997,5.292610147,5.360123829,5.042931425,4.032231982,3.95387427,4.254777207,2.620025286,1.944875303,3.061983348,1.714955817,4.001444414,2.246490367,3.387705307,0,0,0,0,0,1.373875901,1.266997295,1.333072201,0,0,0,0,0,0,0,0
ABCA1,0.996370196,1.941625202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05142317,1.168913826,1.234105921,0,0,0,0,1.380514028,3.601888181,3.238727139,2.013916734,2.053047961,0,0,0,0,0,0,0
ABCB6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380514028,2.529815193,1.931003366,2.013916734,4.526614972,4.335216011,2.795384697,3.617789703,2.69678497,0,0,0
ABCC1,0.996370196,0.961347078,0.864613417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.947899965,3.937808665,4.46591069,3.875236924,0,0,0,0,0,0,0,0
ABCC3,0,0.961347078,0,0,0,0,0,0,0,0.96708259,0,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.736484697,4.439062363,4.554934114,4.572331312,4.711414598,2.886554086,3.687544579,3.241403097,0,0,0,0
ABCE1,3.993186609,4.247579354,4.811887427,2.941009732,3.114149002,3.756000002,1.442864021,1.51783371,2.419108186,4.579976752,4.133559819,4.237538143,2.275117866,1.025359956,1.003619168,0,0,0,2.145448836,2.403347751,2.246490367,3.563016736,0,0,0,0,0,0,1.266997295,1.333072201,0,0,0,0,0,0,0,0
ABCF1,2.578907744,2.740444656,3.734739458,0,1.543333959,1.47881758,0,0,0,2.268893588,1.455392216,1.526262086,0.970922069,0,1.003619168,0,0,0,0,0,0,1.234105921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD10,0,0,1.401468483,0,0,0,0,0,1.851615862,2.750456577,2.827430592,2.511206051,0.970922069,1.025359956,0,0,0,1.03574445,0,1.05142317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD11,0,0,0,0,0,0.921132385,1.442864021,1.51783371,2.163087258,0,0,0,0,0,0,0,0,1.03574445,0,0,0,0,0.90705003,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,1.58012073,0,2.098758683,0,1.953082406,1.47881758,2.405039482,2.500551849,2.825330619,2.750456577,2.421096055,2.251195448,0,0,0,0,0,0,1.098576504,1.653127323,1.806054709,1.889360771,0,1.529484238,0.916958742,0,2.072868086,2.064647663,1.266997295,0,0,0,0,0,0,0,0,0
ABI1,1.994551864,2.259576362,1.401468483,1.949586033,1.953082406,0.921132385,0,0,0,1.540903575,1.455392216,0.956200116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072868086,2.064647663,1.931003366,1.333072201,0,0,0,0,0,0,0,0
ABP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABR,0.996370196,0.961347078,1.791837015,0,0,0,0,0,0.90279184,0,0.903929473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.380514028,1.373875901,1.931003366,1.333072201,0,0,0,0,0,0,0,0
ABRACL,0,0,0,0,0.968891745,0,0.894759661,1.51783371,0.90279184,0,0,0,0,0,0,1.021139762,1.53606782,1.632427638,0,0,0,1.234105921,2.170190716,2.5152748,2.661928568,1.584962501,1.380514028,1.373875901,0,0,0,0,0,0,0,0,0,0
ABRAXAS2,2.578907744,2.740444656,2.56684197,2.268089723,2.532736393,1.47881758,0.894759661,0.9499485,0,2.268893588,2.421096055,2.511206051,0,0,1.003619168,0,0,0,0,1.05142317,0,1.889360771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAA1,0,0,1.401468483,1.949586033,1.543333959,0.921132385,0.894759661,1.51783371,2.163087258,3.1108756,2.827430592,2.511206051,0,0,0,0,0,0,0,0,0,1.889360771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAA2,1.58012073,1.533191662,1.791837015,4.888809872,4.939105679,5.395941819,4.788597165,4.656890805,4.849487895,5.607157832,5.50553947,5.339426141,4.33641615,4.633183863,4.864961592,4.039386317,3.392338026,3.649832041,4.179630012,4.904940717,3.457776598,4.215726552,0.90705003,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
ACACA,3.315387858,3.251589451,2.919685889,0,0,0,0,0,0,2.529675346,2.638521785,1.933791208,0,0,0,0,0,0,0,1.05142317,0,1.234105921,0,0,0,0,0,0,1.266997295,1.333072201,0,0,0,0,0,0,0,0
ACADM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADSB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACADVL,2.578907744,1.533191662,2.754024153,1.540237874,0.968891745,0.921132385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACAT2,1.994551864,1.533191662,2.351701379,2.941009732,2.945112293,3.312666648,3.605364131,3.491832663,3.621272161,3.1108756,3.144111598,3.091114753,2.536168495,2.362292771,2.327714414,2.620025286,2.744180469,2.868099561,1.714955817,2.076463354,1.168913826,2.9563868,2.644143159,2.926737964,2.85138244,1.584962501,1.380514028,0,1.266997295,0,0,0,0,0,0,0,0,0
ACBD3,0,0,0,0,0,0,0.894759661,0.9499485,0.90279184,0,0,0,0,0,0,0,0,0,0,0,0,0,1.459649025,1.937434512,1.473143559,2,0,0,0,0,0,0,0,0,0,0,0,0
ACE2,0,0,0,0,0,0,0.894759661,0.9499485,1.453839514,0,1.853383544,3.091114753,4.33641615,4.21745889,4.00677851,4.898527986,5.057472361,4.822957165,1.098576504,1.05142317,1.168913826,0,5.304113724,5.532436287,5.155308149,5.554588852,4.339375044,4.54121905,4.718023325,4.146756747,4.06601068,2.069533795,1.989531496,3.617789703,0,0,0,0
ACLY,5.747753679,5.623617673,5.869368502,5.977824783,5.960454509,6.0298785,2.977170172,3.079707418,3.401423861,5.689545805,5.477605322,5.37254457,6.189962322,6.026777154,6.329067233,2.620025286,2.523580768,2.868099561,5.741626498,5.622514619,5.868575234,5.468432342,3.40970041,3.246517199,3.428871228,3.906890596,1.380514028,2.064647663,1.931003366,1.333072201,0,0,0,0,0,0,0,0
ACO1,2.578907744,2.740444656,3.202968816,3.63813725,3.402362581,4.017139547,3.964223206,3.991758476,3.898681406,5.22054552,5.390403191,5.37254457,5.466110981,5.721737902,5.707530315,5.923915932,5.655374149,5.976366067,4.179630012,5.004709356,4.106809436,4.877717713,5.618720172,5.775433711,5.714563941,5.321928095,0,2.064647663,1.931003366,0,0,0,0,0,0,0,0,0
ACO2,0,0,0,0.966587184,0,2.193583806,0.894759661,1.51783371,2.163087258,4.636455606,4.71498784,4.669311198,4.467412843,4.80333795,4.650796994,4.684174691,4.321949729,4.822957165,2.745703037,4.182785547,2.246490367,4.584363563,3.40970041,4.168436296,3.304702086,2.321928095,0,0,0,0,0,0,0,0,0,0,0,0
ACOT11,3.163465689,2.740444656,3.439652425,1.949586033,1.543333959,0.921132385,0,0,0,0.96708259,1.455392216,1.526262086,0.970922069,1.025359956,0,0,0,0,1.098576504,1.05142317,1.168913826,1.234105921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT13,0,0,1.791837015,0,0,0.921132385,0,0,0,1.540903575,0.903929473,0,0,0,0,1.021139762,0,0,0,0,0,0,0,0.958592587,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT2,0,0,0,0,0,0.921132385,0.894759661,0.9499485,1.851615862,0.96708259,0,0,0,1.025359956,1.003619168,1.61308057,0.963485218,1.03574445,0,0,0,0,2.170190716,2.2550935,1.873574051,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT7,2.316116017,2.740444656,3.202968816,2.528836668,2.945112293,2.669391044,2.149649735,1.51783371,1.453839514,3.745612183,3.62351829,3.618510617,2.275117866,2.037874702,2.327714414,1.021139762,0,1.03574445,3.340770694,3.413209566,3.283768429,3.719314538,0.90705003,0.958592587,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACOT9,0,0,0,0,0,0,0,0,0,0.96708259,0.903929473,0.956200116,3.40611886,4.134834924,4.00677851,1.021139762,1.944875303,2.644053871,0,0,0,0,3.285708808,3.383238525,3.747798963,3.906890596,0,0,0,0,0,0,0,0,0,0,0,0
ACOX1,0,0,0,0,0.968891745,0,0,0,0,1.950337883,1.455392216,0.956200116,3.646291178,3.854102726,3.466005187,1.021139762,0.963485218,1.632427638,0,0,0,0,2.426542826,2.5152748,2.186666421,2.321928095,0,0,0,0,0,0,0,0,0,0,0,0
ACP1,0.996370196,0,0.864613417,0,0,0,0.894759661,1.51783371,1.453839514,1.540903575,2.164986415,1.933791208,0.970922069,1.025359956,0,0,0,0,0,1.653127323,1.168913826,0,0,0,0,0,0,0,1.266997295,0,0,0,0,0,0,0,0,0
ACP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.021139762,0,1.03574445,0,0,0,0,0,0.958592587,0,0,2.89033867,2.88100595,2.728226634,2.823248847,4.711414598,3.404975348,3.986902457,3.617789703,2.69678497,0,0,0
ACP3,2.993641837,3.251589451,2.56684197,2.268089723,2.271827737,1.47881758,1.839113208,2.240990417,1.453839514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89033867,2.529815193,2.383995806,2.474606879,3.385355532,0,3.309356743,3.241403097,0,0,0,0
ACP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSL5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACSS2,1.58012073,1.941625202,2.351701379,1.949586033,1.543333959,2.193583806,0.894759661,1.51783371,1.453839514,1.950337883,2.421096055,1.526262086,0.970922069,2.037874702,2.005425354,0,0,0,0,0,0,0,0,0,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTB,8.5814648,8.748355856,9.191369072,7.771888203,7.602750503,7.298110032,6.470026137,6.22134529,6.243983803,8.0935062,8.602380442,8.255606987,7.070957275,7.038577355,7.226349403,6.7558257,6.721121745,6.51277571,7.399091121,8.182865117,6.403342332,7.781894347,5.539493089,5.775433711,5.875989,5.491853096,6.941041167,6.85299069,6.808919418,6.937237073,5.683614583,5.043305171,5.412616341,5.612463424,5.299570037,5.806477144,5.185959353,5.187453585
ACTBL2,1.58012073,1.533191662,2.098758683,0.966587184,1.953082406,0.921132385,0,0,0,1.950337883,2.638521785,1.526262086,1.956160331,2.037874702,2.005425354,1.021139762,1.53606782,1.632427638,1.098576504,2.403347751,0,1.889360771,0,0,0.916958742,0,2.072868086,2.064647663,1.931003366,2.474606879,0,0,0,0,0,0,0,0
ACTC1,4.636878881,4.625163985,4.724999573,3.63813725,3.84826838,3.176707196,2.977170172,2.240990417,1.851615862,3.745612183,4.133559819,4.307709643,2.757142261,2.626984775,3.006327599,2.355604609,2.935479543,2.378701702,2.145448836,3.793987451,2.246490367,3.387705307,0.90705003,2.2550935,1.873574051,1,3.172816473,2.88100595,3.005940259,3.338612139,2.053047961,0,2.795384697,1.933211842,0,0,0,0
ACTL6A,3.452825167,3.833879792,4.12242704,3.261216432,2.945112293,2.859016798,3.605364131,3.491832663,3.277509632,3.1108756,3.144111598,2.731434726,0,1.025359956,0,0,0,0,1.714955817,2.076463354,0,3.18810514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN1,2.801126798,1.941625202,1.791837015,5.661608186,5.868888849,6.010011572,6.051085121,6.008151853,6.049326811,4.184907225,5.054533961,5.270817342,6.628328599,6.708003956,6.482881685,6.796478632,6.880830528,6.838176517,7.797259407,7.385852665,7.603668245,5.950841266,5.06102732,5.240051349,5.003808168,5.754887502,1.380514028,3.601888181,3.005940259,2.823248847,2.053047961,0,4.94067428,5.526842447,5.299570037,4.272170993,4.716298833,4.016906216
ACTN4,5.516451599,5.755932248,5.181763407,7.525197828,7.744739822,7.69642396,8.094859603,7.931923909,8.089266936,6.20106807,6.931808524,7.260319794,8.464970887,8.367539517,8.315545562,8.738842068,8.962340382,8.770898686,9.62521599,9.240454593,9.588768786,7.745991039,7.260082658,7.424231541,7.096810211,7.807354922,5.617896038,5.978989548,5.839558095,5.587994002,6.427020762,6.645626919,6.868787097,7.631781919,7.050994723,8.61422725,6.993639659,7.256312382
ACTR10,0.996370196,0,0,0.966587184,0.968891745,0.921132385,0.894759661,0.9499485,0.90279184,1.540903575,1.455392216,0.956200116,0,0,0,0,0,0,0,1.05142317,0,1.889360771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR1A,4.315023641,4.013822575,4.12242704,3.63813725,3.402362581,3.026589061,2.810463839,2.911236342,0.90279184,4.107103517,3.814276912,3.618510617,2.275117866,3.044091598,3.176352815,1.61308057,0,1.632427638,3.340770694,3.677881073,2.583445471,2.9563868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR1B,1.994551864,1.533191662,2.098758683,0.966587184,0.968891745,0.921132385,0,0,0,2.529675346,2.421096055,1.933791208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR2,4.385395623,4.247579354,4.481695725,4.841578479,4.746747198,4.429804965,3.882525857,3.606636986,3.621272161,4.107103517,4.270100252,4.237538143,4.266169311,4.21745889,4.254777207,3.207295283,3.104356784,3.385643851,3.340770694,3.551606284,3.085856525,4.215726552,2.426542826,2.926737964,3.168830955,1,1.380514028,1.373875901,1.931003366,2.474606879,0,0,0,0,0,0,0,0
ACTR3,4.385395623,4.096022377,4.533749939,5.256039888,4.89336671,4.887292885,4.376005728,4.602593015,4.20113292,4.579976752,4.666322275,4.307709643,4.698352774,4.692160027,4.650796994,3.94610422,3.837964422,4.154027448,3.633934435,4.001444414,4.20773121,4.106705299,3.40970041,3.623042415,4.008829657,3,2.072868086,2.88100595,3.005940259,2.823248847,0,0,0,0,0,0,0,0
ACVR1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.072868086,2.064647663,1.931003366,2.013916734,2.867824406,0,0,0,0,0,0,0
ACY1,3.452825167,3.513288396,3.979598316,4.023911454,4.028337769,3.756000002,5.035364569,4.901393789,4.663973997,2.941892081,4.060116522,4.237538143,4.467412843,4.440244194,4.591891283,5.500465327,5.419561132,5.354258517,0,1.653127323,0,2.680193992,5.718011556,5.672450617,5.762557456,5.459431619,0,0,1.266997295,1.333072201,0,0,0,3.617789703,2.69678497,2.829306972,2.598717113,0
ACYP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.170190716,1.529484238,1.473143559,1.584962501,0,0,0,0,0,0,0,0,0,0,0,0
ADA,1.58012073,1.533191662,0,0,0,0,0,0,0,0,0,0,1.546060213,1.025359956,1.003619168,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ADAM10,5.516451599,5.595633632,4.769097515,3.843880539,3.265441068,3.312666648,3.126593151,3.491832663,2.992305255,3.745612183,2.9944429,3.378779227,0,0,0,1.021139762,0,0,1.714955817,1.05142317,1.806054709,1.889360771,1.858228386,1.937434512,0.916958742,3.169925001,6.224312673,6.150417422,6.317768698,6.116289307,6.198608227,5.411684905,5.844248139,5.526842447,2.69678497,0,0,0
ADAM15,2.578907744,2.519953374,0.864613417,1.540237874,0.968891745,0.921132385,2.149649735,2.500551849,2.163087258,0.96708259,0,0,0,0,0,1.021139762,0.963485218,0,0,0,0,0,0,0,0,1,3.789613418,3.937808665,4.269468584,3.875236924,3.76545739,2.069533795,3.687544579,3.241403097,0,0,0,0
ADAM17,3.578300868,4.096022377,2.098758683,3.261216432,2.532736393,2.193583806,2.149649735,1.924256156,2.419108186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90705003,0,0,0,4.449359691,4.329116984,4.041997863,4.375179769,0,0,0,1.933211842,0,0,0,0
ADAM9,3.993186609,4.013822575,3.068269276,2.268089723,1.543333959,0.921132385,2.621946525,2.240990417,2.163087258,2.268893588,0.903929473,2.511206051,0,0,0,0,0,0,0,0,1.168913826,1.234105921,0,0,0,0,4.551550277,4.439062363,4.46591069,4.265484343,5.3905174,4.896155132,5.195857898,4.867424445,2.69678497,0,0,0
ADAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.806054709,1.889360771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAR,1.994551864,1.941625202,2.098758683,1.540237874,0.968891745,1.880020556,1.442864021,1.51783371,1.851615862,0.96708259,0.903929473,0,0,0,0,0,0,1.03574445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADD1,0,0,1.791837015,1.949586033,2.532736393,2.451014583,2.621946525,2.720458447,2.992305255,2.941892081,3.279702347,2.511206051,3.269158334,3.505214095,3.814069025,2.355604609,3.104356784,2.644053871,1.714955817,2.403347751,1.806054709,1.889360771,2.426542826,2.735625828,2.85138244,1.584962501,0,1.373875901,1.266997295,0,0,0,0,0,0,0,0,0
ADD3,0,0,0,1.949586033,2.532736393,2.669391044,2.149649735,2.240990417,1.851615862,2.750456577,2.638521785,2.731434726,2.536168495,3.214705715,3.591590723,2.031594606,2.263052434,2.378701702,1.098576504,1.653127323,0,1.889360771,1.459649025,2.5152748,2.443780137,1,0,0,0,0,0,0,0,0,0,0,0,0
ADGRE5,4.577997335,4.247579354,3.326158875,0,0.968891745,0,0,0,0,3.399011692,1.853383544,3.091114753,0,0,0,0,0,1.03574445,1.098576504,1.05142317,1.168913826,1.889360771,0.90705003,0.958592587,0.916958742,1,4.820760544,5.350195761,5.523914723,5.493845692,5.022286887,3.785554776,5.195857898,4.557799622,0,0,0,0
ADGRG1,1.58012073,1.533191662,0.864613417,0,0,0,1.839113208,1.924256156,1.453839514,0.96708259,0,0,0,0,0,0,0,0,0,0,0,2.338300494,1.459649025,0.958592587,0.916958742,1,2.072868086,2.064647663,2.383995806,2.474606879,2.867824406,0,1.989531496,1.933211842,0,0,0,0
ADGRL1,0,0,0,0,0,0,0.894759661,0.9499485,0.90279184,0,0,0,0,0,0,2.031594606,0.963485218,1.632427638,0,0,0,0,1.858228386,1.937434512,0.916958742,3,0,0,0,0,0,0,0,0,0,0,0,0
ADH1C,0,0,0,0,0,2.451014583,0,0,3.401423861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADH5,3.452825167,3.251589451,4.12242704,3.109978656,2.753608502,3.756000002,2.405039482,2.720458447,4.131254579,3.399011692,3.722048161,3.242104959,2.757142261,2.362292771,2.813553664,2.620025286,3.104356784,2.868099561,1.098576504,1.653127323,1.168913826,2.680193992,1.858228386,2.735625828,2.661928568,0,0,2.064647663,1.266997295,0,0,0,0,0,0,0,0,0
ADK,3.900107558,3.513288396,4.12242704,3.398093484,3.402362581,3.176707196,2.405039482,2.240990417,2.419108186,3.639070203,3.814276912,3.503618698,0,1.025359956,1.003619168,0,0,0,1.098576504,2.076463354,0,2.680193992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADNP,0.996370196,0.961347078,1.401468483,0,0,0,0,0,0,0,0,0,0,0,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPGK,0,0,0,0,0,0,0.894759661,0,0.90279184,0,0,0,0,0,0,1.021139762,0,0,0,0,0,0,1.459649025,1.529484238,0.916958742,1.584962501,0,0,0,0,0,0,0,0,0,0,0,0
ADPRHL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADPRS,0,0,0,0,0,0,1.839113208,1.924256156,2.992305255,0,0,0,0,0,0,2.031594606,1.944875303,2.053289965,0,0,0,0,2.170190716,2.2550935,2.186666421,2.584962501,0,0,0,0,0,0,0,0,0,0,0,0
ADRM1,1.994551864,1.941625202,1.791837015,0.966587184,0,0.921132385,0,0,0,1.540903575,1.455392216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSL,3.163465689,3.251589451,3.544865169,4.458950855,4.332473679,4.304921401,3.385748712,3.367096615,3.141943704,4.39592324,4.453368265,4.237538143,2.948722432,2.850560031,3.176352815,1.021139762,0,0,2.972434909,4.265567955,2.583445471,3.387705307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADSS2,1.994551864,2.519953374,2.56684197,3.398093484,3.114149002,3.176707196,3.703787505,3.367096615,3.719788928,4.184907225,4.133559819,4.086043188,4.032231982,3.631120459,3.814069025,3.846371158,3.632289151,4.066310474,2.476571387,3.551606284,3.085856525,3.563016736,3.907209447,4.312393749,4.15982985,3.459431619,0,1.373875901,1.266997295,1.333072201,0,0,0,0,0,0,0,0
AFDN,0.996370196,1.533191662,0.864613417,1.540237874,1.543333959,1.47881758,1.442864021,1.51783371,1.453839514,0.96708259,1.455392216,0.956200116,0,1.025359956,1.003619168,0,0,0,1.098576504,1.05142317,0,1.889360771,0.90705003,0,0,0,4.646978729,4.636617942,4.718023325,4.265484343,2.053047961,0,0,0,0,0,0,0
AGA,0,0,0,0,0,0,1.442864021,1.51783371,2.163087258,0,0.903929473,0,0,0,0,3.207295283,3.104356784,2.053289965,0,0,0,0,2.833183695,3.246517199,3.168830955,3.807354922,0,0,0,0,0,0,0,0,0,0,0,0
AGFG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.529484238,0.916958742,0,0,0,0,0,0,0,0,0,0,0,0,0
AGL,0.996370196,0,0,1.540237874,0.968891745,0.921132385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90705003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGMAT,0,0,0,1.540237874,1.543333959,3.176707196,0,0,0,1.950337883,1.455392216,1.933791208,3.752877906,3.854102726,4.00677851,1.61308057,1.53606782,2.053289965,0,0,0,0,2.833183695,2.926737964,3.018820504,3,0,0,0,0,0,0,0,0,0,0,0,0
AGO2,0,0.961347078,0,2.268089723,1.543333959,3.312666648,1.839113208,2.500551849,2.825330619,0.96708259,1.455392216,0.956200116,0,1.025359956,1.003619168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.598717113,0
AGR2,0,0,0,0,0,0,2.405039482,1.51783371,3.141943704,3.524028291,3.144111598,3.378779227,0.970922069,1.618677671,1.589786044,1.021139762,2.523580768,1.632427638,2.972434909,2.669676924,2.856411626,1.889360771,2.833183695,2.735625828,2.443780137,3,0,0,0,0,0,0,0,0,0,0,0,0
AGRN,5.850837866,5.755932248,5.114988251,6.619554626,6.745026761,5.948714583,5.87216654,5.877052896,4.561429755,5.426763619,5.360123829,5.819448049,6.417653045,6.750246309,6.762050011,6.972372435,6.880830528,6.838176517,7.713436209,7.395075182,7.896032467,8.346802901,5.741802225,5.240051349,5.417587559,5.727920455,0,3.937808665,3.439119207,2.013916734,5.683614583,7.749756664,7.105067142,6.793671542,7.370745252,8.842505875,8.430069714,7.989498466
AHCTF1,0,0,1.791837015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHCY,5.636733161,5.678008154,5.674459324,6.325523468,6.347245036,6.249113174,6.051085121,5.830565195,5.756236514,5.792552316,5.687257259,5.585252402,6.071385419,5.956348586,6.029486148,5.467276583,5.451233364,5.560945301,5.139264357,5.420561938,4.473994679,5.886337328,4.67275357,5.275622572,5.155308149,3.169925001,3.947899965,3.937808665,4.16021177,4.146756747,2.867824406,0,3.309356743,0,2.69678497,0,0,0
AHCYL1,0.996370196,0.961347078,2.098758683,0,0,0,0,0,0.90279184,0.96708259,2.421096055,1.933791208,0,0,0,0,0,0,1.098576504,0,1.168913826,0,0,0,0,0,2.89033867,2.064647663,2.383995806,2.474606879,2.053047961,0,0,0,0,0,0,0
AHNAK,0,0,0,0,0,0,0.894759661,0,0,0,0,0,0,0,0,1.021139762,0,0,0,0,1.168913826,1.234105921,0,0.958592587,0,1,2.89033867,4.2100965,3.238727139,3.338612139,0,0,0,0,0,0,0,0
